fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_gain_to_split	estimulos	ganancia	iteracion_bayesiana
20230728 154129	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1397	50	0.5	TRUE	666667	0.0356556371419277	0.257079887005411	798	3085	1.49461893586459	115034	938055365.269461	1
20230728 170452	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1959	50	0.5	TRUE	666667	0.0163169952099992	0.60295306341472	734	1903	5.2755065346375	113497	943034748.502994	2
20230728 175816	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1465	50	0.5	TRUE	666667	0.0310915113681775	0.573206634470723	833	2130	4.86434243830054	115153	941792736.526946	3
20230728 191527	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2669	50	0.5	TRUE	666667	0.0205667008932502	0.385296096790486	706	2871	0.975701259656777	114321	941997718.562874	4
20230728 200545	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1915	50	0.5	TRUE	666667	0.03369182425444	0.313691045442302	595	3786	9.40063596783434	116320	939828742.51497	5
20230728 203447	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	885	50	0.5	TRUE	666667	0.0420602366897578	0.642022325422299	842	2237	7.03481248548638	111455	939069730.538922	6
20230728 213023	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1405	50	0.5	TRUE	666667	0.0231110484720203	0.497391910602459	774	1417	6.12406729519728	115780	940147425.149701	7
20230729 015150	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8001	50	0.5	TRUE	666667	0.0101632248941927	0.68285610031082	532	3247	3.40662305586391	113359	946946952.095808	8
20230729 024814	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1736	50	0.5	TRUE	666667	0.0406413794801121	0.547189562352241	975	4304	2.21659198479101	110981	939986101.796407	9
20230729 044735	506	1128618	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4345	50	0.5	TRUE	666667	0.0155441261746288	0.445909933268387	956	4950	5.74973378772105	112719	941150544.91018	10
