Feature	Gain	Cover	Frequency
mcaja_ahorro_rank	0.0342825430467081	0.00192538911747724	0.00116254537910097
rf_042_058	0.0335435606641764	0.00190096123095899	0.00232815469557156
m_e_sp_rank	0.0315981464638496	0.00208203014498648	0.00111045844381746
c_e_sp	0.023573564607874	0.000874325113339055	0.000545380851792097
rf_027_054	0.0219025725179381	0.00252731739684434	0.00175694922880696
rf_021_074	0.0193144986183793	0.00134681111638392	0.00376032656319896
ctrx_quarter	0.0173045708246802	0.0019197258809117	0.000815007340318527
rf_024_062	0.0162207497354165	0.0019267797579866	0.000856151642139119
rf_024_045	0.0153015996921261	0.0025456196316491	0.00236754817603808
vm_status06_delta2	0.0125727809861742	0.00193760400702059	0.000307706852977403
cdescubierto_preacordado	0.0125449598383257	0.00589182152363504	0.00270195505466502
ctrx_quarter_normalizado	0.0100793591212363	0.00195212265078135	0.000815007340318527
foto_mes	0.00974787510836178	0.0102686344687331	0.0031020177340695
m_y_sp_rank	0.00940241638363297	0.00278481452345639	0.00115685520970025
mcuentas_saldo_rank	0.00921146604406076	0.00585178923695429	0.00204364622553555
vm_status01	0.0083079623075726	0.00387403377645304	0.00127985040982351
ctrx_quarter_lag1	0.00789244567719736	0.00187748196908948	0.000922682853593692
mpasivos_margen_rank	0.00663194041153871	0.00303235861818923	0.00308363410985178
mcuenta_corriente_rank	0.00642385187293651	0.00415148840567796	0.00286521914593184
rf_049_064	0.00632262090602364	0.00105216083423237	0.000667500641238321
thomebanking	0.00623524012830507	0.00387089545734142	0.0103517312559254
rf_043_049	0.00575753620052292	0.0018389302126955	0.00258858937198913
m_e_sp_rank_lag2	0.00557964654450718	0.00154084559061279	0.00143829974236664
mrentabilidad_annual_rank_delta2	0.00554565535923742	0.00579249422976134	0.0106835119025213
Visa_mpagospesos_rank	0.00546054529209349	0.00214173578174281	0.00478368164465155
mrentabilidad_annual_rank_delta1	0.00545301192174372	0.00464316678636678	0.00971618310439885
rf_006_073	0.00544221642695055	0.00105313856976209	0.000650867838374678
mcuentas_saldo_rank_delta2	0.00533475018549643	0.00385921718318658	0.00685752953854477
mtarjeta_visa_consumo_rank	0.00514008568743958	0.00145340559135351	0.000905174640053015
m_y_sp_rank_lag1	0.00512593866894883	0.00184202212776259	0.00109295023027678
rf_057_059	0.00501469548338777	0.00070853286729783	0.000593528439028959
rf_022_058	0.00483229230960781	0.00122433416371475	0.0034613738169919
ctrx_quarter_normalizado_lag1	0.00466337465637537	0.00143354700794764	0.000931874665702548
mactivos_margen_rank_delta2	0.00446935272391901	0.00455765864440269	0.00856545576943784
m_anclaje_pesado_rank	0.00444634452745633	0.0050011843412309	0.000902548408021913
mrentabilidad_annual_rank_lag2	0.00432027121286583	0.00420722869980806	0.00643820782424555
cproductos_delta2	0.00430954112441698	0.00142583622181151	0.000230670713398423
mrentabilidad_rank_delta2	0.00412070223206684	0.00353119170217547	0.00834047522544014
ctrx_quarter_normalizado_lag2	0.00411297788452371	0.00280296970858269	0.00264155171794968
rf_001_045	0.00406466297230498	0.00229578306587405	0.0018121001014601
rf_002_051	0.00400425160204142	0.00164409222036311	0.00126584383899097
rf_004_063	0.00396096061555794	0.000994710893457426	0.00246253023449626
Master_mlimitecompra_rank_delta2	0.00392785374235068	0.005434649996604	0.00887841508647744
mprestamos_personales_rank	0.00392654791767027	0.00276604137861633	0.000986150127678647
mrentabilidad_rank_delta1	0.00390105462404337	0.00397358058659529	0.00772637463550088
mcomisiones_otras_rank_delta2	0.00389812928316607	0.00312001980235563	0.00793559778731197
mactivos_margen_rank_delta1	0.00386671336506587	0.00388822827091522	0.00756836300829627
