fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230729 225111	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	576	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.118610560443717	0.689513666955194	290	6416	119313	957501479.041916	1
20230729 230420	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	468	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.235999930955117	0.918719117455581	813	40559	120338	933018335.329341	2
20230729 235118	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1443	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.136630013016761	0.285605360057884	344	30566	118237	946440616.766467	3
20230730 000127	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.289026352700889	0.705041116596794	643	16621	118024	933653029.94012	4
20230730 004421	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2132	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.143090791570229	0.803456171654574	546	49169	112376	939973796.407186	5
20230730 013522	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2462	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0923525782678827	0.115845563839743	507	46648	119575	928620868.263473	6
20230730 021007	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1384	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.197852381995948	0.149168244212661	50	26013	119584	937801293.413174	7
20230730 033204	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2027	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0381655011910303	0.225910641865494	877	5348	118705	970844041.916168	8
20230730 040758	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	767	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.212733251753616	0.567258089961614	673	33727	115374	936283269.461078	9
20230730 042415	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	436	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.189701899145263	0.979868024757609	395	13189	122730	943172874.251497	10
20230730 045927	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2829	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.168783978684123	0.0117617348222565	708	22070	118348	923192407.185629	11
20230730 053720	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	842	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.254083102746933	0.518724568608673	127	36458	128340	931111736.526946	12
20230730 061043	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	682	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0823924633855076	0.342089507692201	220	1440	114813	968792137.724551	13
20230730 065850	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1933	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0671204196454602	0.843301454745338	969	19143	113922	958353760.479042	14
20230730 094413	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4807	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0260735282233902	0.408307612569737	182	42699	117416	938264095.808383	15
20230730 100623	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.26703711593261	0.463673581181875	925	11021	118509	932153718.562874	16
20230730 111901	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1001	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0321038036010729	0.405032513134113	517	1493	109782	974105017.964072	17
20230730 170017	792	1187202	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4534	1	1	1	FALSE	1	0.1	50	0.5	TRUE	666707	0.0356069323105842	0.496610901316653	952	109	104868	1034656598.8024	18
